Date,Steps,Distance_km,Active_Energy_kcal,Resting_Heart_Rate_bpm
2018-08-20,7058,4.87,0.0,
2018-08-21,11191,7.65,0.0,
2018-08-22,11778,7.47,0.0,
2018-08-23,7598,4.91,0.0,
2018-08-24,12187,8.14,0.0,
2018-08-25,12559,8.73,0.0,
2018-08-26,2389,1.56,0.0,
2018-08-27,6832,5.03,0.0,
2018-08-28,8529,5.71,0.0,
2018-08-29,12916,9.23,0.0,
2018-08-30,9604,6.46,0.0,
2018-08-31,5048,2.97,0.0,
2018-09-01,7029,4.54,0.0,
2018-09-02,3967,2.7,0.0,
2018-09-03,1434,1.0,0.0,
2018-09-04,3568,2.22,0.0,
2018-09-05,1711,1.34,0.0,
2018-09-06,1130,0.76,0.0,
2018-09-07,3520,2.36,0.0,
2018-09-08,1961,1.25,0.0,
2018-09-09,3572,2.25,0.0,
2018-09-10,8208,5.25,0.0,
2018-09-11,5600,3.83,0.0,
2018-09-12,4228,2.8,0.0,
2018-09-13,2546,1.98,0.0,
2018-09-14,7405,4.9,0.0,
2018-09-15,5318,3.29,0.0,
2018-09-16,2715,1.76,0.0,
2018-09-17,9037,5.88,0.0,
2018-09-18,3754,2.53,0.0,
2018-09-19,4712,2.94,0.0,
2018-09-20,7585,4.9,0.0,
2018-09-21,3481,2.22,0.0,
2018-09-22,500,0.35,0.0,
2018-09-23,1644,1.06,0.0,
2018-09-24,6730,4.76,0.0,
2018-09-25,5393,3.63,0.0,
2018-09-26,3882,2.47,0.0,
2018-09-27,441,0.31,0.0,
2018-09-28,2578,1.88,0.0,
2018-09-29,2770,1.86,0.0,
2018-09-30,1965,1.35,0.0,
2018-10-01,5661,3.6,0.0,
2018-10-02,4616,3.15,0.0,
2018-10-03,8362,5.68,0.0,
2018-10-04,14332,9.25,0.0,
2018-10-06,3447,2.32,0.0,
2018-10-07,1784,1.18,0.0,
2018-10-08,7128,4.8,0.0,
2018-10-09,5927,4.21,0.0,
2018-10-10,4437,2.87,0.0,
2018-10-11,5279,3.35,0.0,
2018-10-12,8096,4.9,0.0,
2018-10-13,1968,1.35,0.0,
2018-10-14,1460,1.09,0.0,
2018-10-15,13368,8.69,0.0,
2018-10-18,8274,5.81,0.0,
2018-10-19,7069,4.85,0.0,
2018-10-20,34225,23.33,0.0,
2018-10-28,15,0.01,0.0,
2018-10-29,42407,31.65,0.0,
2018-11-05,27083,17.89,0.0,
2018-11-11,277,0.2,0.0,
2018-11-12,5468,3.8,0.0,
2018-11-13,5534,4.11,0.0,
2018-11-14,4212,2.73,0.0,
2018-11-15,5073,3.51,0.0,
2018-11-16,3912,2.51,0.0,
2018-11-17,3237,2.07,0.0,
2018-11-18,3110,2.21,0.0,
2018-11-19,5902,4.05,0.0,
2018-11-20,5156,3.46,0.0,
2018-11-21,4472,2.92,0.0,
2018-11-22,7659,5.31,0.0,
2018-11-23,7590,5.15,0.0,
2018-11-24,3499,2.23,0.0,
2018-11-25,1645,1.06,0.0,
2018-11-26,6454,4.26,0.0,
2018-11-27,5092,3.49,0.0,
2018-11-28,3494,2.33,0.0,
2018-11-29,6727,4.92,0.0,
2018-11-30,5586,3.64,0.0,
2018-12-01,4058,2.62,0.0,
2018-12-02,10247,6.88,0.0,
2018-12-03,8248,5.47,0.0,
2018-12-04,8687,5.77,0.0,
2018-12-05,17882,12.64,0.0,
2018-12-06,4960,3.39,0.0,
2018-12-07,6913,4.45,0.0,
2018-12-08,2906,1.8,0.0,
2018-12-09,2560,1.7,0.0,
2018-12-10,6721,4.37,0.0,
2018-12-11,7091,5.07,0.0,
2018-12-12,6912,4.77,0.0,
2018-12-13,4171,2.93,0.0,
2018-12-14,6076,4.35,0.0,
2018-12-15,7309,4.61,0.0,
2018-12-16,7000,4.83,0.0,
2018-12-17,4315,3.14,0.0,
2018-12-18,4092,2.91,0.0,
2018-12-19,387,0.29,0.0,
2018-12-20,4440,3.06,0.0,
2018-12-21,5483,3.97,0.0,
2018-12-22,8183,5.29,0.0,
2018-12-23,6174,3.9,0.0,
2018-12-24,866,0.67,0.0,
2018-12-25,4494,2.87,0.0,
2018-12-26,7781,5.5,0.0,
2018-12-27,657,0.43,0.0,
2018-12-28,518,0.33,0.0,
2018-12-29,1332,0.87,0.0,
2018-12-30,809,0.53,0.0,
2018-12-31,5711,4.11,0.0,
2019-01-01,4664,3.02,0.0,
2019-01-02,6374,4.59,0.0,
2019-01-03,5483,3.9,0.0,
2019-01-04,5016,3.68,0.0,
2019-01-05,5120,3.65,0.0,
2019-01-06,5094,3.7,0.0,
2019-01-07,692,0.45,0.0,
2019-01-08,4363,2.9,0.0,
2019-01-09,5320,3.55,0.0,
2019-01-10,6091,4.0,0.0,
2019-01-11,4503,3.12,0.0,
2019-01-12,522,0.38,0.0,
2019-01-13,2979,1.91,0.0,
2019-01-14,4779,3.19,0.0,
2019-01-15,5159,3.47,0.0,
2019-01-16,3389,2.24,0.0,
2019-01-17,5103,3.54,0.0,
2019-01-18,7180,4.87,0.0,
2019-01-19,3401,2.16,0.0,
2019-01-20,1349,0.87,0.0,
2019-01-21,6779,4.6,0.0,
2019-01-22,7189,5.12,0.0,
2019-01-23,3583,2.5,0.0,
2019-01-24,3039,2.02,0.0,
2019-01-25,6284,4.3,0.0,
2019-01-26,3291,2.07,0.0,
2019-01-27,453,0.3,0.0,
2019-01-28,6021,4.24,0.0,
2019-01-29,7067,4.63,0.0,
2019-01-30,2043,1.36,0.0,
2019-01-31,5913,3.78,0.0,
2019-02-01,10798,7.26,0.0,
2019-02-02,1261,0.84,0.0,
2019-02-03,2433,1.65,0.0,
2019-02-04,4980,3.49,0.0,
2019-02-05,4861,3.55,0.0,
2019-02-06,3462,2.35,0.0,
2019-02-07,5039,3.29,0.0,
2019-02-08,7679,5.06,0.0,
2019-02-09,2661,1.75,0.0,
2019-02-10,2575,1.84,0.0,
2019-02-11,4807,3.29,0.0,
2019-02-12,6327,4.32,0.0,
2019-02-13,4637,3.17,0.0,
2019-02-14,6185,4.27,0.0,
2019-02-15,7755,5.18,0.0,
2019-02-16,5626,3.58,0.0,
2019-02-17,3588,2.66,0.0,
2019-02-18,2269,1.56,0.0,
2019-02-19,6097,4.06,0.0,
2019-02-20,3451,2.41,0.0,
2019-02-21,6219,4.26,0.0,
2019-02-22,7122,4.86,0.0,
2019-02-23,2764,1.92,0.0,
2019-02-24,3977,2.83,0.0,
2019-02-25,3249,2.23,0.0,
2019-02-26,2726,1.99,0.0,
2019-02-27,3217,2.13,0.0,
2019-02-28,3657,2.27,0.0,
2019-03-01,3563,2.38,0.0,
2019-03-02,4583,2.92,0.0,
2019-03-03,2004,1.32,0.0,
2019-03-04,953,0.72,0.0,
2019-03-05,11265,7.52,0.0,
2019-03-06,10433,6.33,0.0,
2019-03-07,16729,11.91,0.0,
2019-03-08,14029,9.31,0.0,
2019-03-09,12970,8.64,0.0,
2019-03-10,15353,10.51,0.0,
2019-03-11,19313,13.52,0.0,
2019-03-12,20448,14.18,0.0,
2019-03-13,9058,5.94,0.0,
2019-03-14,22460,16.71,0.0,
2019-03-15,7085,4.46,0.0,
2019-03-16,75,0.06,0.0,
2019-03-17,3588,2.6,0.0,
2019-03-18,5482,3.83,0.0,
2019-03-19,3902,2.79,0.0,
2019-03-20,2649,1.82,0.0,
2019-03-21,6073,4.06,0.0,
2019-03-22,5177,3.24,0.0,
2019-03-23,1160,0.74,0.0,
2019-03-24,308,0.21,0.0,
2019-03-25,4560,3.11,0.0,
2019-03-26,5029,3.23,0.0,
2019-03-27,3376,2.13,0.0,
2019-03-28,5901,3.76,0.0,
2019-03-29,8991,6.48,0.0,
2019-03-30,2794,1.71,0.0,
2019-03-31,3148,1.97,0.0,
2019-04-01,4527,3.06,0.0,
2019-04-02,6699,4.56,0.0,
2019-04-03,5291,3.61,0.0,
2019-04-04,5819,3.87,0.0,
2019-04-05,1419,1.0,0.0,
2019-04-06,6173,3.85,0.0,
2019-04-07,999,0.61,0.0,
2019-04-08,5237,3.74,0.0,
2019-04-09,4471,2.87,0.0,
2019-04-10,3640,2.5,0.0,
2019-04-11,5621,3.79,0.0,
2019-04-12,5662,3.76,0.0,
2019-04-13,2212,1.44,0.0,
2019-04-14,2747,1.76,0.0,
2019-04-15,4906,3.24,0.0,
2019-04-16,829,0.55,0.0,
